elife06,inspecQt,elife05,elife04,inspecKb2,elife03,inspecKb1,elife02,elife01,inspecArea,inspecKb3,avgnight,avgdaytime,inspecPoint,inspecYy
50,4,53,59,일반주거,60,나,59,57,기장군기장읍동부리,일반,51,58,유한빌라 앞,2020
54,4,61,64,일반주거,65,나,64,63,동래구사직2동,도로,57,64,시티부동산 건너편,2020
57,4,63,65,일반주거,66,나,65,66,동래구사직2동,도로,60,65,종로엠스쿨 앞,2020
50,4,57,56,일반주거,58,나,56,62,동래구사직2동,일반,53,58,남다른대구막창 앞,2020
57,4,60,64,일반주거,60,나,62,58,동래구사직2동,일반,58,61,대구반야월막창 사직점 앞,2020
46,4,48,55,일반주거,58,나,55,53,동래구사직2동,일반,47,55,쌍용예가 107동 앞,2020
70,4,73,72,상업지역,71,다,72,74,해운대구중1동,도로,71,72,노보텔호텔 우,2020
70,4,72,72,상업지역,70,다,71,73,해운대구중1동,도로,71,71,노보텔호텔 좌,2020
52,4,53,56,상업지역,56,다,57,57,해운대구중1동,일반,52,56,노보텔호텔 뒤,2020
54,4,56,57,상업지역,57,다,57,57,해운대구중1동,일반,55,57,파라다이스호텔 옆,2020
53,4,53,59,상업지역,55,다,54,55,해운대구중1동,일반,53,55,파라다이스호텔 입구,2020
59,4,64,66,준공업지역,67,다,66,70,영도구남항동,도로,61,67,구 남항새마을금고 앞,2020
60,4,66,68,준공업지역,69,다,68,70,영도구남항동,도로,63,68,카이스트안경 앞,2020
41,4,58,52,준공업지역,63,다,62,61,영도구남항동,일반,49,59,신한아파트 앞,2020
48,4,40,43,준공업지역,66,다,66,65,영도구남항동,일반,44,60,영도종합상가 앞,2020
47,4,48,50,준공업지역,61,다,60,61,영도구남항동,일반,47,58,유성티엠주식회사 앞,2020
70,3,72,72,상업지역,71,다,71,75,해운대구중1동,도로,71,72,노보텔호텔 우,2020
70,3,73,72,상업지역,73,다,73,73,해운대구중1동,도로,71,72,노보텔호텔 좌,2020
56,1,60,64,녹지,67,가,66,66,중구대청공원내,도로,58,65,시민아파트앞,2020
47,1,52,55,녹지,61,가,59,56,중구대청공원내,도로,49,57,시민헌장앞,2020
40,1,45,47,녹지,50,가,51,53,중구대청공원내,일반,42,50,도서관앞,2020
39,1,42,45,녹지,49,가,52,64,중구대청공원내,일반,40,52,동상앞,2020
49,1,55,57,녹지,61,가,58,59,중구대청공원내,일반,52,58,충혼탑입구,2020
46,1,48,51,종합병원,64,가,53,56,부산진구개금2동백병원주변,일반,47,56,건강탕앞,2020
48,1,48,51,종합병원,51,가,52,53,부산진구개금3동백병원주변,일반,48,51,고원아파트1동107호앞,2020
